id,scores_available,title,question_set,date,location
136,False,"Квиз, плиз!",SPB 1,"2 июня/Пятница, 19:00",Grand Bianco
182,False,"Квиз, плиз! SPB ",2,"16 июня/Пятница, 19:00",Grand Bianco
217,False,"Квиз, плиз! SPB",3,"7 июля/Пятница, 19:00",Grand Bianco
248,False,"Квиз, плиз! SPB",4,"13 июля/Четверг, 19:00",Ресторан ParkKing
283,False,"Квиз, плиз! SPB",5,"21 июля/Пятница, 19:00",Grand Bianco
307,False,"Квиз, плиз! SPB",6,"4 августа/Пятница, 19:00",Grand Bianco
346,False,"Квиз, плиз! SPB",7,"11 августа/Пятница, 19:00",Grand Bianco
364,False,"Квиз, плиз! SPB",8,"19 августа/Суббота, 17:00",Grand Bianco
397,False,"Квиз, плиз! SPB",9,"25 августа/Пятница, 19:00",Grand Bianco
419,False,"Квиз, плиз! SPB",10,"1 сентября/Пятница, 19:00",Grand Bianco
444,False,"Квиз, плиз! SPB",11,"7 сентября/Четверг, 19:00",Берёзки
471,False,"Квиз, плиз! SPB",12,"13 сентября/Среда, 19:00",Берёзки
472,False,"Квиз, плиз! SPB",13,"14 сентября/Четверг, 19:00",Фриты
508,False,,,,
517,False,"Квиз, плиз! SPB",14,"28 сентября/Четверг, 19:00",Берёзки
545,False,"Квиз, плиз! SPB",15,"3 октября/Вторник, 19:00",Street Food Bar №1
546,False,"Квиз, плиз! SPB",16,"5 октября/Четверг, 19:00",Берёзки
572,False,"Квиз, плиз! SPB",17,"13 октября/Пятница, 19:00",Street Food Bar №1
603,False,"Квиз, плиз! SPB",18,"19 октября/Четверг, 19:00",Берёзки
604,False,"Квиз, плиз! SPB",19,"21 октября/Суббота, 17:00",Grand Bianco
626,False,"Квиз, плиз! SPB",20,"25 октября/Среда, 19:00",Street Food Bar №1
627,False,"Квиз, плиз! SPB",21,"26 октября/Четверг, 19:00",Берёзки
668,False,"Квиз, плиз! SPB",22,"2 ноября/Четверг, 19:00",Берёзки
669,False,"Квиз, плиз! SPB",23,"4 ноября/Суббота, 17:00",Street Food Bar №1
708,False,"Квиз, плиз! SPB",24,"8 ноября/Среда, 19:00",Street Food Bar №1
709,False,"Квиз, плиз! SPB",25,"10 ноября/Пятница, 19:00",Street Food Bar №1
746,False,"Квиз, плиз! SPB",26,"16 ноября/Четверг, 19:00",Берёзки
777,False,"Квиз, плиз! SPB",27.1,"22 ноября/Среда, 20:00",Street Food Bar №1
