id,scores_available,title,question_set,date,location
54320,0,"Квиз, плиз! [стрим] SPB",315,"25 марта/Суббота, 20:00","Везде, где есть интернет"
53941,0,"Квиз, плиз! SPB",637,"25 марта/Суббота, 19:30",Ресторан ParkKing
54319,1,"Квиз, плиз! [стрим] SPB",314,"24 марта/Пятница, 20:00","Везде, где есть интернет"
53935,1,"Квиз, плиз! SPB",637,"24 марта/Пятница, 19:30",Ресторан ParkKing
53937,1,"Квиз, плиз! SPB",638,"24 марта/Пятница, 19:30",Руки ВВерх! Бар
53932,1,"Квиз, плиз! SPB",639,"24 марта/Пятница, 19:30",Rossi's Club
53931,1,[новички] SPB,639,"23 марта/Четверг, 19:30",PALMA
53930,1,"Квиз, плиз! SPB",639,"23 марта/Четверг, 19:30",Ресторан ParkKing
53928,1,"Квиз, плиз! SPB",638,"22 марта/Среда, 19:30",PALMA
53923,1,"Квиз, плиз! SPB",637,"21 марта/Вторник, 19:30",Puberty
53587,1,"Квиз, плиз! SPB",634,"19 марта/Воскресенье, 19:30",Дворец Олимпия
53592,1,"Квиз, плиз! SPB",636,"19 марта/Воскресенье, 19:30",Ресторан ParkKing
53956,1,"Квиз, плиз! [стрим] SPB",313,"18 марта/Суббота, 20:00","Везде, где есть интернет"
53583,1,"Квиз, плиз!.jpeg SPB",2,"18 марта/Суббота, 19:30",Ресторан ParkKing
53578,1,"Квиз, плиз! SPB",636,"18 марта/Суббота, 16:00",Puberty
53954,1,"Квиз, плиз! [стрим] SPB",312,"17 марта/Пятница, 20:00","Везде, где есть интернет"
53570,1,[новички] SPB,636,"17 марта/Пятница, 19:30",ЦИНЬ
53573,1,"Квиз, плиз! SPB",635,"17 марта/Пятница, 19:30",Rossi's Club
53576,1,"Квиз, плиз! SPB",636,"17 марта/Пятница, 19:30",Ресторан ParkKing
53568,1,"Квиз, плиз! SPB",635,"16 марта/Четверг, 19:30",Ресторан ParkKing
53562,1,"Квиз, плиз! SPB",634,"15 марта/Среда, 19:30",PALMA
53559,1,"Квиз, плиз! SPB",634,"14 марта/Вторник, 19:30",Puberty
53557,1,"Квиз, плиз! SPB",635,"14 марта/Вторник, 19:30",Grand Bianco
53179,1,"Квиз, плиз! SPB",632,"12 марта/Воскресенье, 19:30",Ресторан ParkKing
53188,1,"Квиз, плиз! [стрим] SPB",311,"11 марта/Суббота, 20:00","Везде, где есть интернет"
53168,1,"Квиз, плиз! SPB",633,"11 марта/Суббота, 19:30",Ресторан ParkKing
53258,1,"Квиз, плиз! [бранч] SPB",632,"11 марта/Суббота, 15:30",VOKZAL 1853
53185,1,"Квиз, плиз! [стрим] SPB",310,"10 марта/Пятница, 20:00","Везде, где есть интернет"
53159,1,[новички] SPB,633,"10 марта/Пятница, 19:30",ЦИНЬ
53160,1,"Квиз, плиз! SPB",631,"10 марта/Пятница, 19:30",Rossi's Club
53161,1,"Квиз, плиз! SPB",633,"10 марта/Пятница, 19:30",Ресторан ParkKing
53368,1,[новички] SPB,631,"9 марта/Четверг, 19:30",Дворец Олимпия
53156,1,"Квиз, плиз! SPB",632,"9 марта/Четверг, 19:30",Ресторан ParkKing
53181,1,Кино и музыка [стрим] романтика SPB,1,"8 марта/Среда, 20:00","Везде, где есть интернет"
53153,1,"Квиз, плиз! SPB",631,"8 марта/Среда, 18:00",PALMA
53144,1,"Квиз, плиз! SPB",632,"8 марта/Среда, 16:00",Puberty
53139,1,"Квиз, плиз! SPB",631,"7 марта/Вторник, 19:30",Ресторан ParkKing
52737,1,"Квиз, плиз! SPB",630,"5 марта/Воскресенье, 19:30",Ресторан ParkKing
52735,1,"Квиз, плиз! SPB",629,"5 марта/Воскресенье, 16:00",Puberty
53214,1,"Квиз, плиз! [стрим] SPB",309,"4 марта/Суббота, 20:00","Везде, где есть интернет"
52733,1,"Квиз, плиз! SPB",628,"4 марта/Суббота, 19:30",Ресторан ParkKing
53212,1,"Квиз, плиз! [стрим] SPB",308,"3 марта/Пятница, 20:00","Везде, где есть интернет"
52729,1,"Квиз, плиз! SPB",628,"3 марта/Пятница, 19:30",Ресторан ParkKing
52728,1,"Квиз, плиз! SPB",630,"3 марта/Пятница, 19:30",Rossi's Club
52725,1,"Квиз, плиз! SPB",629,"2 марта/Четверг, 19:30",Grand Bianco
52717,1,[новички] SPB,630,"1 марта/Среда, 19:30",Grand Bianco
52719,1,"Квиз, плиз! SPB",629,"1 марта/Среда, 19:30",Ресторан ParkKing
52715,1,"Квиз, плиз! SPB",628,"28 февраля/Вторник, 19:30",Puberty
52401,1,"Квиз, плиз! SPB",627,"26 февраля/Воскресенье, 15:30",Grand Bianco
52744,1,"Квиз, плиз! [стрим] SPB",307,"25 февраля/Суббота, 20:00","Везде, где есть интернет"
52398,1,"Квиз, плиз! SPB",625,"25 февраля/Суббота, 19:30",Ресторан ParkKing
52397,1,"Квиз, плиз! SPB",626,"25 февраля/Суббота, 15:30",Grand Bianco
52741,1,"Квиз, плиз! [стрим] SPB",306,"24 февраля/Пятница, 20:00","Везде, где есть интернет"
52393,1,"Квиз, плиз! SPB",626,"24 февраля/Пятница, 15:30",Grand Bianco
52394,1,"Квиз, плиз! SPB",627,"24 февраля/Пятница, 15:30",Ресторан ParkKing
52389,1,[новички] SPB,627,"23 февраля/Четверг, 19:30",ЦИНЬ
52388,1,"Квиз, плиз! SPB",625,"23 февраля/Четверг, 15:30",Ресторан ParkKing
52385,1,"Квиз, плиз! SPB",626,"22 февраля/Среда, 19:30",Ресторан ParkKing
52380,1,"Квиз, плиз! SPB",625,"21 февраля/Вторник, 19:30",Puberty
52005,1,"Квиз, плиз! SPB",624,"19 февраля/Воскресенье, 19:30",Ресторан ParkKing
52409,1,"Квиз, плиз! [стрим] SPB",305,"18 февраля/Суббота, 20:00","Везде, где есть интернет"
52001,1,"Квиз, плиз! SPB",623,"18 февраля/Суббота, 19:30",Ресторан ParkKing
52000,1,"Квиз, плиз! SPB",622,"18 февраля/Суббота, 15:30",Ресторан ParkKing
52408,1,"Квиз, плиз! [стрим] SPB",304,"17 февраля/Пятница, 20:00","Везде, где есть интернет"
51998,1,"Квиз, плиз! SPB",624,"17 февраля/Пятница, 19:30",Ресторан ParkKing
51996,1,"Квиз, плиз! SPB",624,"17 февраля/Пятница, 19:30",Дворец Олимпия
51995,1,"Квиз, плиз! SPB",622,"16 февраля/Четверг, 19:30",Ресторан ParkKing
52010,1,"Квиз, плиз! SPB",623,"16 февраля/Четверг, 19:30",Игристые
51992,1,"Квиз, плиз! SPB",623,"15 февраля/Среда, 19:30",Grand Bianco
51991,1,[300к1] SPB,5,"14 февраля/Вторник, 19:30",Grand Bianco
51990,1,"Квиз, плиз! SPB",622,"14 февраля/Вторник, 19:30",Puberty
51568,1,"Квиз, плиз! SPB",621,"12 февраля/Воскресенье, 15:30",Grand Bianco
52008,1,"Квиз, плиз! [стрим] SPB",303,"11 февраля/Суббота, 20:00","Везде, где есть интернет"
51563,1,"Квиз, плиз! SPB",620,"11 февраля/Суббота, 16:00",Puberty
51564,1,"Квиз, плиз! SPB",619,"11 февраля/Суббота, 15:30",Ресторан ParkKing
52007,1,"Квиз, плиз! [стрим] SPB",302,"10 февраля/Пятница, 20:00","Везде, где есть интернет"
51562,1,"Квиз, плиз! SPB",619,"10 февраля/Пятница, 19:30",Ресторан ParkKing
51561,1,"Квиз, плиз! SPB",620,"10 февраля/Пятница, 19:30",Rossi's Club
51558,1,[новички] SPB,621,"9 февраля/Четверг, 19:30",ЦИНЬ
51559,1,"Квиз, плиз! SPB",621,"9 февраля/Четверг, 19:30",Ресторан ParkKing
51220,1,[300к1] SPB,5,"8 февраля/Среда, 19:30",Grand Bianco
51556,1,"Квиз, плиз! SPB",620,"8 февраля/Среда, 19:30",Ресторан ParkKing
51555,1,"Квиз, плиз! SPB",619,"7 февраля/Вторник, 19:30",Puberty
51217,1,[300к1] SPB,5,"5 февраля/Воскресенье, 19:30",Grand Bianco
51218,1,"Квиз, плиз! SPB",617,"5 февраля/Воскресенье, 19:30",Ресторан ParkKing
51216,1,"Квиз, плиз! SPB",616,"5 февраля/Воскресенье, 15:30",Grand Bianco
51609,0,"Квиз, плиз! [стрим] SPB",301,"4 февраля/Суббота, 20:00","Везде, где есть интернет"
51214,1,"Квиз, плиз! SPB",617,"4 февраля/Суббота, 19:30",Ресторан ParkKing
51213,1,"Квиз, плиз! SPB",618,"4 февраля/Суббота, 19:30",Дворец Олимпия
51606,1,"Квиз, плиз! [стрим] SPB",300,"3 февраля/Пятница, 20:00","Везде, где есть интернет"
51210,1,[новички] SPB,618,"3 февраля/Пятница, 19:30",ЦИНЬ
51209,1,"Квиз, плиз! SPB",618,"3 февраля/Пятница, 19:30",Ресторан ParkKing
51206,1,"Квиз, плиз! SPB",616,"2 февраля/Четверг, 19:30",Grand Bianco
51203,1,"Квиз, плиз! SPB",617,"1 февраля/Среда, 19:30",Grand Bianco
51198,1,"Квиз, плиз! SPB",616,"31 января/Вторник, 19:30",Puberty
50848,1,"Квиз, плиз! SPB",614,"29 января/Воскресенье, 19:30",Grand Bianco
50847,1,"Квиз, плиз! SPB",615,"29 января/Воскресенье, 16:00",Puberty
51226,1,"Квиз, плиз! [стрим] SPB",299,"28 января/Суббота, 20:00","Везде, где есть интернет"
50845,1,"Квиз, плиз! SPB",613,"28 января/Суббота, 19:30",Ресторан ParkKing
50843,1,"Квиз, плиз! SPB",615,"28 января/Суббота, 15:30",Grand Bianco
51224,1,"Квиз, плиз! [стрим] SPB",298,"27 января/Пятница, 20:00","Везде, где есть интернет"
50838,1,[новички] SPB,615,"27 января/Пятница, 19:30",ЦИНЬ
50839,1,"Квиз, плиз! SPB",614,"27 января/Пятница, 19:30",Rossi's Club
